Clean Development Mechanism::SYN::CDM,F 895         
joint implementation and emissions trading,F 3           
juridical personality,F 5           
key Annex I country,F 2           
key decisions,F 4           
land management,F 5           
land-use change and forestry sector,F 2           
last resort,F 5           
late Monday,F 5           
legally-binding agreement in South Africa,F 2           
lengthy discussions,F 5           
limited resources,F 4           
limited time,F 4           
limiting global temperature rise,F 2           
lingering uncertainties,F 4           
linkages between climate,F 5           
little time,F 5           
low emissions,F 5           
lower emissions,F 5           
market and non market-based approaches,F 2           
meeting on Monday,F 5           
mid-term target,F 5           
mitigation commitments for developed countries,F 2           
mitigation gap,F 4           
mobilizing resources,F 5           
monetization of Certified Emission Reductions,F 2           
morning spin-off group on numbers,F 2           
move discussions,F 4           
much progress,F 5           
multilateral process,F 4           
multilateral system,F 4           
multilateral technology acquisition fund,F 2           
national interest,F 4           
national mitigation,F 5           
national reports,F 5           
national statements,F 5           
national systems under Protocol Article,F 2           
nationally appropriate mitigation commitments,F 2           
need for Parties,F 4           
need for early warning systems,F 3           
need for flexibility,F 5           
needs of SIDS::SYN::needs of small ISLANDS developing States,F 5           
negotiating mode,F 4           
next SBI,F 6           
ninth session,F 4           
non-renewable biomass,F 5           
not met current commitments,F 2           
not yet entered into force,F 2           
observer participation,F 4           
ongoing efforts,F 4           
only option,F 4           
open-ended drafting,F 4           
open-ended informal consultations on decision-making,F 3           
opening day,F 4           
options for consideration,F 5           
organizational issues,F 4           
outstanding brackets,F 4           
participation of key developing countries,F 2           
participation of non-Annex I Parties,F 2           
particularly developing country Parties,F 2           
parties emission,F 4           
parties needs,F 4           
penalty rate,F 4           
permanent forum,F 5           
phased approach,F 4           
place in December 2007,F 4           
plenary statements,F 5           
policy approaches,F 5           
policy approaches and positive incentives,F 3           
policy issues,F 5           
policy-oriented needs,F 4           
political decision next week,F 2           
political positions,F 4           
political process,F 4           
political resolution,F 4           
political signals,F 4           
positive step,F 4           
possible SBSTA work programme,F 2           
possible amendment,F 4           
possible draft decision text,F 2           
possible extension,F 4           
possible protocol,F 4           
post-2012 arrangements,F 4           
post-2012 issues,F 5           
post-2012 period or new commitments,F 2           
post-2012 process,F 4           
practical approaches,F 4           
practice since COP::SYN::practice since Conference of Parties,F 4           
preambular section,F 4           
precautionary measures,F 4           
preferred Alternative,F 4           
preparation of Annex I communications,F 2           
preparation of National Adaptation Programmes,F 2           
presented information,F 4           
previous discussions,F 5           
price of CERs::SYN::price of Certified Emission Reductions,F 5           
production patterns,F 5           
programme on mechanisms,F 4           
progress on Article,F 4           
project proposals,F 5           
proportional impact of single projects,F 2           
proposal from Brazil,F 4           
proposed clean development fund,F 2           
proposed forwarding,F 5           
protocol under Convention article 17,F 2           
protracted consultations,F 4           
provision of adequate financial resources,F 3           
public-private partnerships,F 5           
ratification process,F 4           
reduction of carbon dioxide emissions,F 2           
reference for CDM EB members::SYN::reference for Clean Development Mechanism Executive Board members,F 2           
reference methodology on historical responsibilities,F 2           
reference to FCCC,F 4           
reference to LDCs::SYN::reference to least developed countries,F 4           
reference year for domestic purposes,F 2           
references to mitigation,F 5           
regional and global environmental issues,F 2           
regional economic integration organizations,F 2           
registered projects,F 4           
reinstatement of eligibility,F 5           
relation to cleaner energy exports,F 3           
relevant decisions,F 5           
relevant provisions,F 4           
remaining text,F 4           
renewable energy and energy efficiency,F 3           
reports of expert review teams,F 2           
requests Annex I Parties,F 2           
revised draft decision text,F 3           
revised draft text on Guidelines,F 2           
revised non-paper,F 5           
revised proposal,F 4           
role in promoting sustainable development,F 2           
run-up to COP-6,F 4           
second Kyoto commitment period,F 2           
second basket,F 4           
second commitment period QELROs,F 3           
second session,F 4           
separate issues,F 4           
setting targets,F 4           
share information,F 5           
side event on public technologies,F 2           
sixteenth session,F 4           
small negotiating,F 4           
smooth transition,F 4           
social development,F 5           
special fund,F 4           
specific activities,F 4           
specific policies,F 4           
specific questions,F 5           
specific sectors,F 5           
stabilization of greenhouse gas concentrations,F 2           
stabilizing greenhouse gas concentrations,F 3           
stakeholder participation,F 5           
start finance,F 5           
status of contributions,F 4           
submission date,F 4           
substantive decision,F 5           
sufficient funding,F 4           
sufficient information,F 5           
sustainable development and technology innovation,F 2           
sustainable production and consumption patterns,F 2           
sustainable way,F 4           
taking decisions,F 4           
taking place behind closed doors,F 2           
technical information,F 5           
technical matters,F 4           
technical nature,F 4           
technology and capacity building commitments,F 2           
technology centers,F 5           
technology development and transfer board,F 2           
technology discussions,F 4           
technology fund,F 4           
technology transfer and adverse effects,F 2           
technology transfer and financial support,F 2           
text addresses,F 4           
text for consideration,F 5           
text on adaptation,F 5           
text paragraph,F 4           
text providing additional guidance,F 2           
text to SBSTA,F 4           
third round,F 4           
top-down approach,F 4           
triggering role,F 4           
unbracketed consolidated negotiating text,F 2           
urged governments,F 4           
verification procedures,F 5           
voting procedures,F 5           
vulnerability of SIDS::SYN::vulnerability of small ISLANDS developing States,F 4           
water and other natural resources,F 2           
wood products and reference levels,F 2           
world environment,F 4           
Chair Daniela Stoycheva,F 4           
energy efficient technologies,F 4           
implementation of existing commitments,F 4           
Environment Programme,F 5           
draft recommendations,F 5           
information centers,F 5           
statements from heads,F 5           
deforestation and forest degradation,F 6           
de Alba,F 5           
written submissions,F 5           
SBSTA programme,F 5           
aggregate anthropogenic carbon dioxide,F 3           
resources for adaptation,F 5           
rules-based system,F 5           
flat rate,F 5           
Rules on crediting countries,F 6           
team of technical experts,F 5           
economic and social consequences,F 4           
uniform reporting format,F 4           
Annex III,F 5           
proposal by Croatia,F 5           
sticking points,F 5           
text on agriculture,F 5           
aggregate emission,F 5           
consultations on finance,F 5           
public technologies,F 5           
President Al-Attiyah,F 6           
ambitious agreement,F 5           
initial national communications from non-Annex,F 3           
least cost,F 5           
local levels,F 5           
multilateral technology,F 5           
national implementing,F 5           
policy guidance,F 5           
proposed workshops,F 5           
technology innovation,F 5           
uniform reporting,F 5           
Annex I Parties Further Commitments,F 3           
global energy,F 5           
national development priorities,F 4           
forestry activities,F 6           
NGO participant::SYN::non-governmental organizations participant,F 5           
Patricia Espinosa,F 5           
Tudela Abad,F 5           
status of implementation,F 5           
COP 16::SYN::Conference of Parties 16,F 24          
decision on guidelines,F 5           
ADP Co-Chair Runge-Metzger,F 2           
ADP concerning progress,F 2           
ADP draft decision,F 3           
AFB Chair Khan::SYN::Adaptation Fund Board Chair Khan,F 2           
AFRICA GROUP and others,F 2           
AFRICAN GROUP and others,F 2           
AGENDA ITEM 2 ARRANGEMENTS,F 2           
AIJ synthesis reports::SYN::activities implemented jointly synthesis reports,F 2           
AND OF OTHER PROVISIONS,F 3           
AOSIS and SOUTH AFRICA::SYN::Alliance of Small Island States and SOUTH AFRICA,F 2           
AR4 Synthesis Report,F 3           
AWG work programme,F 2           
AWG-KP Chair Dovland,F 2           
AWG-KP Chair Macey,F 2           
AWG-KP closing plenary,F 2           
AWG-KP draft conclusions,F 2           
AWG-KP under Protocol Article,F 2           
AWG-LCA agenda items,F 3           
AWG-LCA and AWG-KP texts,F 2           
Al Waleed Al-Malik,F 2           
Annex I inventories,F 2           
Annex III of document,F 2           
Argentine voluntary commitment,F 2           
Article 9 review process,F 2           
Asian Development Bank,F 3           
Buenos Aires in December 2004,F 2           
CDM EB Chair::SYN::Clean Development Mechanism Executive Board Chair,F 3           
CDM EB study::SYN::Clean Development Mechanism Executive Board study,F 2           
CDM baseline methodologies::SYN::Clean Development Mechanism baseline methodologies,F 2           
CDM for Other Environmental::SYN::Clean Development Mechanism for Other Environmental,F 2           
CDM operational aspects::SYN::Clean Development Mechanism operational aspects,F 2           
CDM programme of activities::SYN::Clean Development Mechanism programme of activities,F 2           
CDM project registration::SYN::Clean Development Mechanism project registration,F 3           
CHINA and SOUTH AFRICA,F 2           
CHINA requested time,F 2           
CHINA stressing CBDR::SYN::CHINA stressing common but differentiated responsibilities,F 2           
CLIMATE VULNERABLE FORUM,F 2           
CMP 3 in Bali,F 2           
CMP 8 President Al-Attiyah,F 2           
CMP stocktaking plenary,F 2           
CO2 emissions reduction,F 3           
COALITION OF RAINFOREST NATIONS,F 2           
COP Presidency efforts::SYN::Conference of Parties Presidency efforts,F 2           
COP President Baalu::SYN::Conference of Parties President Baalu,F 3           
COP President for consultation::SYN::Conference of Parties President for consultation,F 2           
COP President instructions::SYN::Conference of Parties President instructions,F 2           
COP a draft decision::SYN::Conference of Parties a draft decision,F 2           
COP agenda item::SYN::Conference of Parties agenda item,F 2           
COP plenary on Wednesday::SYN::Conference of Parties plenary on Wednesday,F 2           
COP-10 high-level segment,F 2           
COP-4 in Buenos Aires,F 2           
COP-7 President Elyazghi,F 2           
COSTA RICA and URUGUAY,F 2           
CTCN Advisory Board,F 3           
Canadian proposal on modalities,F 2           
Central American countries,F 2           
Central and Eastern European,F 3           
Chair Derrick Oderson,F 2           
Chair de Boer,F 2           
Chair draft proposal,F 2           
Chair previous text,F 2           
Chair s proposal,F 2           
Chair s suggestion,F 2           
Clean Air Act,F 2           
Clean Energy and Sustainable,F 2           
Climate Change Commissioner,F 2           
Climate Change Initiative,F 2           
Climate Change Strategy,F 2           
Co Chair Moore,F 2           
Co Facilitator Uosukainen,F 2           
Co-Chair Audun Rosland,F 2           
Co-Chair Helen Plume,F 2           
Co-Chair Jukka Uosukainen,F 2           
Co-Chair Kishan Kumarsingh,F 2           
Co-Chair Leon Charles,F 2           
Co-Chair Neroni Slade,F 2           
Co-Chair Tudela Abad,F 2           
Co-Chair van Ypersele,F 2           
Co-Chairs Campbell and Sangarwe,F 2           
Co-Chairs Estrada and Chow,F 2           
Co-Chairs Fulton and Sethi,F 2           
Co-Chairs Holger Liptow,F 3           
Co-Chairs draft conclusions,F 2           
Committee annual report,F 2           
Committee rules of procedure,F 2           
Committee s report,F 2           
Compliance Committee decision,F 2           
Copenhagen Launch Fund,F 2           
Costa Rica and Grenada,F 2           
Costa Rica and Tuvalu,F 2           
Croatia Kyoto target,F 2           
DOEs and CDM methodologies::SYN::designated operational entities and Clean Development Mechanism methodologies,F 2           
DOMINICAN REPUBLIC and others,F 2           
Date and venue of COP-9,F 2           
Developed Countries Fund,F 2           
Discussions then focused,F 2           
Domingos Gonzalez Miguez,F 2           
EARTH COUNCIL AND ENERGY 21,F 2           
EU and MARSHALL ISLANDS::SYN::EUROPEAN UNION and MARSHALL ISLANDS,F 2           
Earth Council and Energy,F 2           
Eastern European countries,F 3           
Environmental Affairs and Tourism,F 3           
Environmental Protection Agency,F 2           
Executive Secretary Figueres,F 4           
FCCC Executive Secretary,F 5           
FCCC SUBSIDIARY BODIES,F 2           
FCCC financial mechanism,F 2           
Facilitator Gary Theseira,F 2           
Facilitator Zammit Cutajar,F 2           
Federal Councillor and Head,F 2           
Fernando Tudela Abad,F 2           
Fifth Assessment Report,F 2           
G-77 and China proposal,F 2           
GCF Governing Instrument::SYN::Green Climate Fund Governing Instrument,F 2           
GCOS Cooperation Mechanism::SYN::Global Climate Observing System Cooperation Mechanism,F 2           
GEF Governing Council::SYN::Global Environment Facility Governing Council,F 2           
GEF Trust Fund::SYN::Global Environment Facility Trust Fund,F 2           
GEF report and guidance::SYN::Global Environment Facility report and guidance,F 2           
GEF strategic programme::SYN::Global Environment Facility strategic programme,F 2           
GHG emission limitations,F 3           
Gabriel Quijandria Acosta,F 2           
German elements paper,F 4           
Hama Arba Diallo,F 3           
Heads of Government Meeting,F 2           
Housing and Urban Development,F 2           
Hyogo Framework for Action,F 2           
INDIA and SOUTH AFRICA,F 2           
INTERGOVERNMENTAL ORGANIZATIONS AND NGOS,F 2           
Informal consultations on NAPs::SYN::Informal consultations on national adaptation Plan,F 2           
JAPAN and SAUDI ARABIA,F 2           
JISC annual report::SYN::Joint Implementation Supervisory Committee annual report,F 2           
Johannesburg Plan of Implementation,F 2           
Kok Seng Yap,F 3           
Kyoto Protocol Article,F 3           
Kyoto Protocol amendments,F 2           
Kyoto Protocol parties,F 2           
Kyoto Protocols Compliance,F 2           
LDC group of experts::SYN::least developed countries group of experts,F 2           
LULUCF accounting rules,F 3           
LULUCF under Protocol Article,F 2           
LULUCF-related methodological issues,F 2           
MITIGATION AND MEANS OF IMPLEMENTATION,F 2           
MOP 1 for adoption,F 2           
MOP 1 high-level segment,F 2           
MOP President Rasmussen,F 2           
MOP decision on implications,F 2           
MOP-1 decision on Article,F 2           
Majesty Queen Beatrix,F 2           
Margaretha de Boer,F 2           
Maria del Socorro,F 2           
Meeting times and rooms,F 2           
Minister Valli Moosa,F 3           
Minister of Rural Development,F 2           
Minister of Science and Technology,F 2           
Minister of Territory Planning,F 2           
Ministerial Round Tables,F 3           
Ministry of Foreign Affairs,F 2           
Ministry of Science and Technology,F 2           
Mohamed Al Sabban,F 2           
Mohammad Reza Salamat,F 2           
Montreal Action Plan,F 2           
Multilateral Technology Acquisition,F 2           
NAMA registry or mechanism,F 2           
NAMAs by developing countries::SYN::nationally appropriate mitigation actions by developing countries,F 3           
National Communications from Parties,F 2           
Natural Resources and Forestry,F 2           
Negotiations also continued,F 2           
Ocean Observing System,F 2           
Office of Legal Affairs,F 2           
PEOPLES OF OUR AMERICA,F 2           
Pa Ousman Jarju,F 2           
Parties then addressed,F 2           
Parties with economies in transition,F 3           
Pedro Martins Barata,F 2           
Permanent Secretariat in Bonn,F 2           
Persistent Organic Pollutants::SYN::POPs,F 2           
President Felipe Calderon,F 2           
President Rachmat Witoelar,F 2           
Proposal by Croatia on LULUCF,F 3           
Protocol Articles 12,F 2           
Protocol amendments under Article,F 2           
Protocol flexibility mechanisms,F 3           
Protocol in developing countries,F 2           
Protocol key elements,F 2           
RUSSIAN FEDERATION and CANADA,F 2           
RUSSIAN FEDERATION and CHINA,F 2           
RUSSIAN FEDERATION and EU::SYN::RUSSIAN FEDERATION and EUROPEAN UNION,F 2           
RUSSIAN FEDERATION and POLAND,F 2           
Raul Estrada Oyuela,F 2           
Response Measures Forum,F 2           
Rio de Janeiro,F 2           
Round Table discussions,F 3           
Russian Federation and Japan,F 2           
Russian proposal on procedures,F 2           
SAUDI ARABIA and OMAN,F 2           
SAUDI ARABIA and SAMOA,F 2           
SB-13 Part II,F 3           
SBI Chair Becker,F 2           
SBI Co Chairs,F 2           
SBI and SBSTA conclusions,F 3           
SBI joint meeting,F 2           
SBI on privileges and immunities,F 2           
SBSTA Chair Benrageb,F 2           
SBSTA Chair Chow,F 2           
SBSTA Chair Dovland,F 2           
SBSTA Chair Plume,F 2           
SBSTA and SBI agendas,F 2           
SBSTA and SBI plenaries,F 2           
SBSTA conclusions on guidelines,F 2           
SBSTA draft conclusions,F 2           
SINGAPORE and SAUDI ARABIA,F 2           
SWITZERLAND and NEW ZEALAND,F 2           
Second World Climate,F 2           
Secretariat and parties submissions,F 2           
Secretary Richard Kinley,F 3           
Seminar of Governmental Experts,F 3           
Sergio Selaya Bonilla,F 2           
South East Asia,F 3           
State for Global Affairs,F 2           
Subsidiary Body on Implementation,F 3           
Subsidiary Body on Scientific,F 3           
Suggestions that developing countries,F 2           
TANZANIA and SAUDI ARABIA,F 2           
TRINIDAD AND TOBAGO and others,F 2           
Technical and Technological Advice,F 2           
Technical review of Annex,F 3           
Technology Acquisition Fund,F 2           
Tuesday afternoon and evening,F 2           
UN Environment Programme,F 3           
UN Food and Agriculture,F 2           
UN Forum on Forests,F 2           
UN Under-Secretary General,F 3           
UN regional groupings,F 2           
UNFCCC and Protocol Commitments,F 2           
UNFCCC and Protocol issues,F 2           
WORKSHOPS AND CONSTITUTED BODIES,F 2           
World Bank as trustee,F 2           
abilities and national circumstances,F 2           
absolute emissions reductions,F 2           
accessing GEF funds::SYN::accessing Global Environment Facility funds,F 3           
accordance with Protocol Article,F 4           
accordance with national circumstances,F 3           
accountability for collective adequacy,F 2           
accounting of LULUCF activities,F 2           
accredited independent entities,F 2           
achievement of mitigation targets,F 2           
action from developed countries,F 2           
activities in relation to mitigation,F 2           
adaptation and mitigation measures,F 2           
adaptation and mitigation options,F 2           
adaptation plan process,F 2           
adding new gases,F 3           
addition of new GHGs,F 2           
addressing adverse effects,F 3           
addressing cross-cutting issues,F 2           
adequacy of commitments in Article,F 2           
adequacy of implementation of Articles,F 2           
adequate and sustainable funding,F 2           
adjustments under Protocol Article,F 2           
administrative and institutional matters,F 2           
adoption of modalities and procedures,F 2           
adoption of procedures and mechanisms,F 2           
adoption of rules of procedure,F 2           
adverse effects and impacts,F 5           
afternoon with statements by ministers,F 2           
agenda item on adaptation,F 2           
aggregate and individual targets,F 2           
agreed draft decision,F 2           
agreed full costs,F 2           
agreed outcome and closure,F 2           
agreement and institutional arrangements,F 2           
agreement next week,F 2           
agreement on institutional arrangements,F 2           
agreement on strengthening efforts,F 2           
allowing registry systems,F 2           
ambition in line with science,F 2           
ambitious reduction targets,F 3           
amended Kyoto Protocol,F 2           
amendment to Protocol Annex,F 2           
annexed draft decisions,F 2           
annual emissions inventory,F 2           
annual inventories for Annex,F 3           
anthropogenic emissions by sources,F 2           
anthropogenic greenhouse gas,F 3           
anthropogenic increases of emissions,F 2           
appropriate treaty provisions,F 2           
article first paragraph,F 2           
aspects of Croatia appeal,F 2           
assessing scientific information,F 2           
assessment of demonstrable progress,F 4           
assigned amounts AAs::SYN::assigned amounts assigned amounts,F 2           
assistance for developing countries,F 3           
attention to capacity building,F 2           
aviation and maritime emissions,F 2           
balanced package of decisions,F 2           
balancing mitigation and adaptation,F 2           
baseline and monitoring methodologies,F 2           
been reached on standards,F 2           
been received from Grenada,F 2           
behalf of COP-9 President,F 2           
being discussed in contact,F 2           
better future agreement,F 2           
binding emission targets,F 2           
boards for further details,F 2           
bottom-up and top-down approaches,F 2           
brief draft conclusions,F 2           
burden to developing countries,F 2           
cap for forest management,F 2           
cap on forest management,F 2           
capacity building and adaptation,F 2           
capacity building issues,F 2           
capacity building section,F 2           
capacity building support,F 3           
carbon accounting system,F 2           
carbon dioxide concentrations,F 3           
changing circumstances and capabilities,F 2           
cleaner or less greenhouse-gas,F 3           
clear set of options,F 2           
climate change agreements,F 2           
climate change considerations,F 3           
climate change cooperation,F 2           
climate change funding,F 3           
climate change policies,F 3           
climate change programme,F 2           
climate fund or facility,F 2           
climate technology centers,F 3           
collaboration with other secretariats,F 2           
commitments on non Annex,F 2           
comparability of mitigation efforts,F 2           
comparable mitigation efforts,F 2           
compilation and synthesis report,F 2           
completion of national communications,F 2           
comprehensive legal framework,F 2           
concern about inappropriately translating,F 2           
conclusions on Capacity building,F 3           
conclusions on agenda items,F 2           
conclusions on technology transfer,F 2           
concrete outcome in Cancun,F 2           
concrete outcome in Warsaw,F 2           
consequences in case of non-compliance,F 2           
consideration of Protocol Articles,F 2           
consideration of demonstrable progress,F 2           
consideration of national circumstances,F 2           
consideration of negotiating text,F 2           
considered methodological issues,F 2           
considered several issues,F 2           
consultations on loss and damage,F 3           
contact group focus,F 2           
contact group for consideration,F 2           
contact group on JI::SYN::contact group on joint implementation,F 2           
contact group on Thursday,F 2           
contact group on implementation,F 3           
contact group on sinks,F 2           
contact group session,F 3           
contact groups on LULUCF,F 2           
context of Protocol requirements,F 2           
continuation of joint implementation,F 2           
cooperation with other conventions,F 3           
core elements proposal,F 3           
costs of participation of members,F 2           
country driven process,F 2           
creative and pragmatic solutions,F 2           
credible outcome in Durban,F 2           
credits for activities under Article,F 2           
criteria and operational guidelines,F 2           
date and venue of COP-8,F 2           
decision making process,F 2           
decision on finance in Doha,F 2           
decision on loss and damage,F 2           
decision on market approaches,F 2           
decision on response measures,F 2           
decisions next week,F 2           
deeper emission cuts,F 2           
demonstration adaptation projects,F 2           
designated national authorities,F 3           
details and strengthening implementation,F 3           
developed country delegates,F 2           
developed country governments,F 2           
developing countries responsibility,F 2           
developing country adaptation,F 3           
developing country efforts,F 2           
developing country members,F 2           
developing performance indicators,F 2           
development of long-term approaches,F 2           
development of national communications,F 2           
development of performance indicators,F 3           
development of renewable energies,F 2           
development of standardized baselines,F 2           
direct access by parties,F 3           
direct access to funds,F 2           
direct human-induced changes,F 3           
direct human-induced land,F 2           
discussed draft text,F 2           
discussed organizational matters,F 2           
discussions on capacity building,F 2           
discussions on response measures,F 2           
discussions under Protocol Article,F 3           
distributed new text,F 2           
draft Article 7 COP::SYN::draft Article 7 Conference of Parties,F 2           
draft COP-6 decision,F 2           
draft Memorandum of Understanding,F 2           
draft conclusions on Annex,F 2           
draft conclusions on emissions,F 2           
draft conclusions paragraph-by-paragraph,F 2           
draft conclusions to SBSTA,F 2           
draft decision for COP-1,F 2           
draft decision on AIJ::SYN::draft decision on activities implemented jointly,F 2           
draft decision on guidance,F 2           
draft decision on issues,F 2           
draft decision on matters,F 2           
draft decisions on cooperation,F 2           
draft decisions on mechanisms,F 2           
draft political decision,F 3           
draft recommendations on Agenda,F 2           
draft report of SBI-11,F 2           
draft text on agriculture,F 2           
draft text paragraph-by-paragraph,F 2           
draft texts to SBSTA,F 2           
drafting group meetings,F 4           
drafting group on Article,F 2           
drafting group on mitigation,F 2           
early Saturday evening,F 2           
economic and social development,F 2           
economic and social issues,F 2           
economic diversification activities,F 2           
economic leaders meeting,F 2           
economy-wide emission reduction,F 2           
effectiveness of capacity building,F 2           
effects and impacts of response,F 4           
effects of response measures,F 3           
efforts by developing countries,F 2           
elaboration of additional commitments,F 2           
eligibility of LULUCF activities,F 3           
emission reduction objectives,F 3           
emission reduction ranges,F 2           
emissions estimates and projections,F 2           
emissions limitations commitments,F 3           
emissions trading regime,F 2           
energy and LULUCF sectors,F 2           
enforcement branch decision,F 2           
enhanced action on adaptation,F 2           
enhanced action on technology,F 2           
enhanced capacity building,F 2           
entire package of issues,F 2           
entry into force in time,F 2           
equitable geographic representation,F 2           
equitable geographical representation,F 3           
establishment of guidelines and modalities,F 2           
exchange of information on measures,F 2           
executive and supervisory role,F 2           
experience of other MEAs::SYN::experience of other multilateral environmental agreements,F 2           
experts from developing countries,F 2           
favor of including sinks,F 2           
feasibility of developing guidelines,F 2           
final day of COP-8,F 2           
final hour on Friday,F 2           
financial institutional arrangement,F 2           
financial resources and capacity-building,F 2           
financing and capacity building,F 2           
first part of AWG,F 2           
first part of SB-13,F 2           
focus on renewable energy,F 2           
focused and structured manner,F 2           
forest management activities,F 3           
forest management credits,F 2           
formulating response strategies,F 2           
fourth cluster of issues,F 2           
fragile mountain ecosystem,F 2           
frequency of national communications,F 2           
full juridical personality,F 2           
full negotiating mode,F 2           
functioning of operational linkages,F 2           
functions and institutional arrangements,F 2           
fund and technology transfer,F 2           
funding and resource levels,F 3           
funding upon entry into force,F 2           
further attention on climate,F 2           
further commitments of Annex,F 2           
further elaborated text,F 2           
further political guidance,F 2           
general policy guidance,F 2           
global and comprehensive agreement,F 2           
global average warming,F 2           
global emissions budget,F 2           
global financial crisis,F 2           
global goal and timeframe,F 2           
global goal for adaptation,F 2           
global mean surface,F 2           
global temperature increase,F 3           
governments and international organizations,F 2           
greenhouse gas intensity,F 2           
guidelines for national systems,F 2           
hardest hit by climate,F 2           
higher level of ambition,F 2           
hot air AAUs::SYN::hot air Assigned Amount Units,F 2           
idea of voluntary commitments,F 2           
implementation of UNFCCC commitments,F 2           
implementation of current commitments,F 2           
importance of environmental integrity,F 2           
importance of sustaining funding,F 2           
in-depth review reports,F 2           
inadequacy of available funds,F 2           
incentives for developing countries,F 3           
incoming COP President::SYN::incoming Conference of Parties President,F 2           
increase in global temperature,F 2           
increases in GHG emissions,F 2           
increasing mitigation ambition,F 2           
indicative list of assessments,F 2           
indicative scale of contributions,F 2           
individual issues by Tuesday,F 2           
informal consultations on Monday,F 2           
informal consultations on Thursday,F 2           
informal consultations on adaptation,F 2           
informal consultations on issues,F 2           
informal consultations on matters,F 2           
informal consultations parties,F 2           
informal group on LDCs::SYN::informal group on least developed countries,F 2           
informal group on sinks,F 2           
informal high-level meetings,F 2           
informal informal meeting,F 3           
informal informal session,F 2           
information through national communications,F 2           
information under Protocol Article,F 3           
initial list of activities,F 2           
interim trustee arrangements,F 2           
investment for technology transfer,F 3           
issue of joint implementation,F 2           
issue to informal consultations,F 2           
issues needing resolution,F 5           
joint implementation projects,F 2           
joint implementation with credits,F 2           
joint training programme,F 2           
key Cancun outcomes,F 2           
key to environmental progress,F 2           
larger scientific problem,F 2           
late Saturday night,F 2           
late Wednesday evening,F 2           
late afternoon contact,F 2           
late evening Plenary,F 2           
legal basis for adoption,F 3           
legally binding climate,F 2           
legally binding objectives,F 2           
legally binding system,F 2           
legally-binding agreement in Copenhagen,F 2           
legally-binding instrument at COP::SYN::legally-binding instrument at Conference of Parties,F 2           
less carbon-intensive technology,F 2           
line with host countries,F 2           
long-term emission reduction,F 3           
loose alliance of Annex,F 2           
loss of mechanisms eligibility,F 2           
low income communities,F 3           
low level of ambition,F 3           
luxury and survival emissions,F 2           
major outstanding issues,F 2           
major political decisions,F 2           
major task before negotiators,F 2           
management of global climate,F 2           
mandate and terms of reference,F 2           
mandate in Protocol Article,F 2           
market mechanisms and LULUCF,F 2           
mean surface temperature,F 2           
measurement of greenhouse gases,F 2           
mechanism for loss and damage,F 2           
mechanisms not exceeding,F 2           
meeting Protocol commitments,F 2           
minimization of adverse effects,F 2           
minimizing adverse impacts,F 2           
ministers next week,F 2           
mitigation and adaptation activities,F 2           
mitigation and adaptation funding,F 2           
mitigation and sustainable development,F 2           
mitigation in developing countries,F 2           
mitigation targets and actions,F 2           
mobilization of climate finance,F 2           
modalities for including afforestation,F 3           
monitors for further details,F 2           
morning and early afternoon,F 3           
morning and evening sessions,F 2           
morning open-ended consultations,F 3           
multi-donor trust fund,F 2           
multilateral and bilateral channels,F 2           
multilateral rules-based system,F 2           
multilateral technology fund,F 2           
namely oceans and forests,F 2           
national GHG inventory,F 3           
national and local levels,F 2           
national and regional programmes,F 2           
national development plans,F 3           
national emission objectives,F 3           
national meteorological systems,F 2           
national sustainable development,F 3           
nationally determined commitments,F 2           
natural greenhouse effect,F 2           
necessary and available funding,F 2           
need for accounting rules,F 2           
need for additional funding,F 2           
need for additional resources,F 2           
need for broader action,F 2           
need for economic diversification,F 2           
need for full participation,F 2           
need for further discussions,F 3           
need for further progress,F 2           
need for global participation,F 2           
need for ministerial intervention,F 2           
need for more time,F 2           
need for political decisions,F 3           
need for public financing,F 2           
need for urgent action,F 2           
needs for further information,F 2           
negotiating group Co-Chairs,F 2           
negotiating group on QELROs,F 2           
negotiations on outstanding issues,F 2           
negotiations taking place,F 2           
net source of emissions,F 2           
next SBI plenary,F 2           
non-commercial and preferential terms,F 3           
non-exhaustive list of issues,F 2           
non-governmental advisory committees,F 2           
non-intrusive and non-punitive manner,F 2           
non-paper on procedures and mechanisms,F 2           
not Protocol parties,F 2           
not completed at COP::SYN::not completed at Conference of Parties,F 2           
not reached consensus,F 2           
notice boards for confirmation,F 2           
noting lack of agreement,F 2           
numerous workshops and meetings,F 2           
one developed country party,F 2           
ongoing adaptation efforts,F 2           
only developing countries,F 2           
only legally-binding instrument,F 2           
only viable option,F 2           
open and transparent process,F 2           
opening Plenary session,F 2           
opening plenary meetings,F 2           
options on carry-over of AAUs::SYN::options on carry-over of Assigned Amount Units,F 2           
outstanding issues on QELROs,F 2           
paragraph inviting Parties,F 2           
paragraph on fossil fuels,F 2           
participation by developing countries,F 3           
participation of indigenous peoples,F 3           
particular sticking points,F 2           
particularly developed countries,F 2           
parties discussions and views,F 2           
parties emission reduction,F 2           
parties for producing suggestions,F 2           
periodicity of national communications,F 2           
pilot phase for JI::SYN::pilot phase for joint implementation,F 2           
pilot phase without credits,F 2           
place on many issues,F 2           
pledges with thematic discussions,F 2           
pm in Van Gogh,F 2           
policy and financial aspects,F 2           
political decision on Implementation,F 2           
positions on key issues,F 2           
potential consequences section,F 2           
practical opportunities and solutions,F 3           
pre-2020 mitigation ambition,F 3           
